Anio	MES 	PLANIFICADO	EJECUTADO
2018	1	881372165.9	859373679.5
2018	2	1907296949	1805491558
2018	3	2707277967	2481508452
2018	4	2856980889	2728583456
2018	5	4447691975	4249680984
2018	6	4118927068	3890771905
2018	7	6073743896	5527443063
2018	8	5371522667	5009888312
2018	9	4351179553	4058748512
2018	10	5170700384	4775339355
2018	11	3638569228	3305193512
2018	12	5130915960	4586235059
2019	1	857255691.8	748295352
2019	2	1398212292	1299381228
2019	3	3513342236	3118400641
2019	4	3587851771	3304160162
2019	5	3775980853	3570715127
2019	6	4544923088	4043953722
2019	7	3304346629	2967177562
2019	8	4194058005	3695631779
2019	9	4940797574	4370656728
2019	10	4815609874	4220199540
2019	11	3818768929	3488948666
2019	12	5531564662	5201590074
2020	1	623722158.3	594501931.1
2020	2	3025982303	2804820355
2020	3	1514239107	1352967916
2020	4	642074181.9	587155239.4
2020	5	1100988003	909833366.4
2020	6	2032477444	1821441384
2020	7	7392604479	6582556764
2020	8	7040409445	6280187757
2020	9	8104463716	6811295282
2020	10	6590461351	5976777251
2020	11	5937028683	5435911906
2020	12	7049649462	6161278050
2021	1	1680783618	1660151748
2021	2	5779245484	5561749600
2021	3	5526877911	5322656702
2021	4	3033991243	2783149450
2021	5	3749440319	3407586061
2021	6	4467294267	3885474474
2021	7	3657642331	3312195173
2021	8	3608566554	3382036386
2021	9	4058215409	3780135876
2021	10	4765911771	4460963531
2021	11	4301770798	4103427093
2021	12	3917865110	3580360804
