Activo_id;ciclo;fechaHora;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;condicion
1;1;1/01/2015 00:00;518.67;641.82;1589.7;1400.6;14.62;21.61;554.36;2388.06;9046.19;1.3;47.47;521.66;2388.02;8138.62;8.4195;0.03;392;2388;100;39.06;23.419;0
1;2;1/01/2015 01:00;518.67;642.15;1591.82;1403.14;14.62;21.61;553.75;2388.04;9044.07;1.3;47.49;522.28;2388.07;8131.49;8.4318;0.03;392;2388;100;39;23.4236;0
1;3;1/01/2015 02:00;518.67;642.35;1587.99;1404.2;14.62;21.61;554.26;2388.08;9052.94;1.3;47.27;522.42;2388.03;8133.23;8.4178;0.03;390;2388;100;38.95;23.3442;0
1;4;1/01/2015 03:00;518.67;642.35;1582.79;1401.87;14.62;21.61;554.45;2388.11;9049.48;1.3;47.13;522.86;2388.08;8133.83;8.3682;0.03;392;2388;100;38.88;23.3739;0
1;5;1/01/2015 04:00;518.67;642.37;1582.85;1406.22;14.62;21.61;554;2388.06;9055.15;1.3;47.28;522.19;2388.04;8133.8;8.4294;0.03;393;2388;100;38.9;23.4044;0
1;6;1/01/2015 05:00;518.67;642.1;1584.47;1398.37;14.62;21.61;554.67;2388.02;9049.68;1.3;47.16;521.68;2388.03;8132.85;8.4108;0.03;391;2388;100;38.98;23.3669;0
1;7;1/01/2015 06:00;518.67;642.48;1592.32;1397.77;14.62;21.61;554.34;2388.02;9059.13;1.3;47.36;522.32;2388.03;8132.32;8.3974;0.03;392;2388;100;39.1;23.3774;0
1;8;1/01/2015 07:00;518.67;642.56;1582.96;1400.97;14.62;21.61;553.85;2388;9040.8;1.3;47.24;522.47;2388.03;8131.07;8.4076;0.03;391;2388;100;38.97;23.3106;0
1;9;1/01/2015 08:00;518.67;642.12;1590.98;1394.8;14.62;21.61;553.69;2388.05;9046.46;1.3;47.29;521.79;2388.05;8125.69;8.3728;0.03;392;2388;100;39.05;23.4066;0
1;10;1/01/2015 09:00;518.67;641.71;1591.24;1400.46;14.62;21.61;553.59;2388.05;9051.7;1.3;47.03;521.79;2388.06;8129.38;8.4286;0.03;393;2388;100;38.95;23.4694;0
1;11;1/01/2015 10:00;518.67;642.28;1581.75;1400.64;14.62;21.61;554.54;2388.05;9049.61;1.3;47.15;521.4;2388.01;8140.58;8.434;0.03;392;2388;100;38.94;23.4787;0
1;12;1/01/2015 11:00;518.67;642.06;1583.41;1400.15;14.62;21.61;554.52;2388.09;9049.37;1.3;47.18;521.8;2388.02;8134.25;8.3938;0.03;391;2388;100;39.06;23.366;0
1;13;1/01/2015 12:00;518.67;643.07;1582.19;1400.83;14.62;21.61;553.44;2388.12;9046.82;1.3;47.38;521.85;2388.08;8128.1;8.4152;0.03;393;2388;100;38.93;23.2757;0
1;14;1/01/2015 13:00;518.67;642.35;1592.95;1399.16;14.62;21.61;554.48;2388.09;9047.37;1.3;47.44;521.67;2388;8134.43;8.3964;0.03;393;2388;100;39.18;23.3826;0
1;15;1/01/2015 14:00;518.67;642.43;1583.82;1402.13;14.62;21.61;553.64;2388.11;9052.22;1.3;47.3;522.5;2388.08;8127.56;8.4199;0.03;391;2388;100;38.99;23.35;0
1;16;1/01/2015 15:00;518.67;642.13;1587.98;1404.5;14.62;21.61;553.94;2388.05;9049.34;1.3;47.24;521.49;2388.07;8136.11;8.3936;0.03;392;2388;100;38.97;23.455;0
1;17;1/01/2015 16:00;518.67;642.58;1584.96;1399.95;14.62;21.61;553.8;2388.06;9054.92;1.3;47.12;521.89;2388.04;8137.27;8.4542;0.03;392;2388;100;38.81;23.3319;0
1;18;1/01/2015 17:00;518.67;642.62;1591.04;1396.12;14.62;21.61;554.2;2388.05;9049.55;1.3;47.21;521.76;2388.07;8132.73;8.4028;0.03;392;2388;100;38.89;23.3987;0
1;19;1/01/2015 18:00;518.67;641.79;1587.56;1400.35;14.62;21.61;554.18;2388.04;9053.99;1.3;47.4;521.89;2388.03;8129.13;8.4321;0.03;391;2388;100;38.8;23.3464;0
1;20;1/01/2015 19:00;518.67;643.04;1581.11;1405.23;14.62;21.61;554.81;2388.05;9045.9;1.3;47.22;522.07;2388.02;8129.71;8.421;0.03;392;2388;100;39.03;23.422;0
1;21;1/01/2015 20:00;518.67;642.37;1586.07;1398.13;14.62;21.61;554.08;2388.11;9048.15;1.3;47.15;522.42;2388.08;8134.02;8.4049;0.03;392;2388;100;39.09;23.3101;0
