periodo	BienesConsumo	MateriaPrima	BienesCapital	Otros	Total
Ago14	757.99676	1742.195382	1066.990543	79.851582	3647.034267
Sep14	767.939509	1561.895828	1037.000145	7.952876	3374.788358
Oct14	825.040746	1641.731136	1081.4308	7.08518	3555.287862
Nov14	832.631029	1395.783235	1005.448544	21.672207	3255.535015
Dic14	727.809755	1370.924923	989.870806	10.252315	3098.857799
Ene15	691.229395	1427.223642	1010.011113	124.959812	3253.423962
Feb15	665.929717	1211.630693	877.10215	6.685093	2761.347653
Mar15	760.812444	1359.416378	1059.809145	58.838444	3238.876411
Abr15	659.598471	1333.515767	1015.563603	23.718622	3032.396463
May15	658.563249	1298.937976	999.778824	64.736028	3022.016077
Jun15	707.465831	1472.203761	1009.924854	100.930497	3290.524943
Jul15	740.469815	1358.575647	1021.686373	25.239636	3145.971471
Ago15	783.422239	1343.84313	1014.054069	19.763169	3161.082607
Sep15	802.242561	1337.294664	966.423098	7.150358	3113.110681
Oct15	780.66481	1306.387356	1016.448341	6.857341	3110.357848
Nov15	818.544187	1231.029152	978.176099	173.41269	3201.162128
Dic15	685.108625	1230.469219	1033.31136	51.630679	3000.519883
Ene16	651.201012	1220.326843	1030.021628	78.399896	2979.949379
Feb16	660.925373	1062.687594	853.859348	8.39265	2585.864965
Mar16	726.962079	1162.990452	893.315428	32.041028	2815.308987
Abr16	626.298872	1115.98393	986.647004	16.918625	2745.848431
May16	658.224033	1162.666372	926.718241	18.030481	2765.639127
Jun16	674.907378	1319.798006	884.959935	8.318541	2887.98386
Jul16	682.883513	1232.61927	833.422692	10.855435	2759.78091
Ago16	794.783776	1401.038229	956.917733	15.944489	3168.684227
Sep16	840.348748	1354.223487	956.553855	27.548169	3178.674259
Oct16	766.746388	1384.976647	1030.800665	10.315357	3192.839057
Nov16	785.344775	1273.08489	939.018671	21.097667	3018.546003
Dic16	738.919555	1331.918719	939.349302	19.092494	3029.28007
Ene17	652.387858	1395.787775	895.326368	25.668407	2969.170408
Feb17	659.442319	1385.334581	790.427975	5.343597	2840.548472
Mar17	772.077596	1527.593813	865.601709	16.752652	3182.02577
Abr17	690.401419	1414.865278	846.743293	24.984968	2976.994958
May17	792.1224	1432.771677	937.279081	8.22146	3170.394618
Jun17	772.227558	1384.987665	900.781277	8.056343	3066.052843
Jul17	789.787272	1379.012961	1015.772777	20.032996	3204.606006
Ago17	876.93678	1585.071772	1035.591244	7.110523	3504.710319
Sep17	832.338444	1509.472944	958.524744	11.136883	3311.473015
Oct17	889.313985	1653.632604	1051.20748	9.646422	3603.800491
Nov17	851.081725	1603.460505	1072.758701	20.426256	3547.727187
Dic17	761.119638	1630.126005	946.445964	6.880677	3344.572284
Ene18	740.76275	1682.206946	947.619808	35.903164	3406.492668
Feb18	752.36154	1489.857249	857.605013	7.458227	3107.282029
Mar18	857.311139	1647.619546	1011.839326	8.012527	3524.782538
Abr18	800.530157	1686.229379	973.46579	6.592624	3466.81795
May18	822.686968	1826.224267	1007.47807	9.103508	3665.492813
Jun18	752.738182	1696.576105	915.839247	6.180747	3371.334281
Jul18	808.038599	1727.508181	998.291768	7.649446	3541.487994
Ago18	824.711588	2008.143909	1003.060022	12.510877	3848.426396
Sep18	790.446004	1666.293069	907.094992	7.709018	3371.543083
Oct18	879.611045	2067.293824	1058.271269	7.343133	4012.519271
Nov18	836.932495	1551.827097	1034.061718	7.435951	3430.257261
Dic18	724.38392	1465.832118	926.3054	6.983389	3123.504827
Ene19	782.878895	1690.674995	985.777558	18.17806	3477.509508
Feb19	758.231998	1547.606057	900.769893	4.896421	3211.504369
Mar19	788.242767	1538.333069	942.498472	5.808755	3274.883063
Abr19	726.99243	1721.15606	1019.413657	5.530329	3473.092476
May19	796.244845	1643.057895	1112.501365	7.21018	3559.014285
